"album","lyrics","title","url"
"Unknown","I've been to the desert on a horse with no name
He's got a different color, but he always looks the same
Well,
Black Walls (x6)
You shouldn't hate your body
'Cause it's a part of you
You shouldn't hate your family
It's a part of you
You shouldn't hate your neighbors
In this family of man
Black Walls (x10)","Black Walls","http://lyrics.fandom.com/wiki/Pavement:Black_Walls"
"Brighten The Corners (1997)","A welcome to my friends
This house is a home and a home's where I belong
Where the feelings are warm and the foundations are strong
If my soul has a shape, well then it is an ellipse and this slap is a gift
'Cause your cheeks have lost their luster
You know your cheeks have lost their luster
You know your cheeks have lost their luster
You know your cheeks have lost their luster, luster, luster, luster
Take it back
Send return out of time
Tape machine needs to be aligned
Aloha means goodbye and also hello, it's in how you inflect
Put the bark in the dog and you've got a guardian
When the capital's S, it is followed by a T
And it's probably me
And the tones are grouped in clusters
You know the tones are grouped in clusters
Well, the tones are grouped in clusters
You know the tones are grouped in clusters, clusters, clusters, clusters
Take it back
Kiss me into the past
Lately never gonna last","Blue Hawaiian","http://lyrics.fandom.com/wiki/Pavement:Blue_Hawaiian"
"Westing (By Musket And Sextant) (1993)","Wasn't the question you were asking
Wasn't my answer I gave
That made me feel like I was on train
Was a distant voice
Made me make the choice
That I had to get the fuck out of this town
I got a lot of things to do
A lot of places to go
I got a lot of good things coming my way
And I'm afraid to say that you're not one of them
Last time I was there
You were out on the couch
Pressed into a little electric tube
It was the way that you smiled
That made me know at once
That I had to get the fuck out of this town
'Cause I've decided to make a stand
And I'm not taking your hand
I'm taking the next bus outta here
I'm gonna head to box elder","Box Elder","http://lyrics.fandom.com/wiki/Pavement:Box_Elder"
"Rattled By La Rush (1995)","Bring on the clouds
Why you why you why you why you why you why you wait?
Head for your daughter, head for your daughter
See what you bring
Head on the cloud
Why you why you why you why you wait
Head for your daughter head for your daugh- your mum
Said one rosey lain on your neck
So patiently wait...
Yeah!
Before you go
You gotta hand!
Ooh
??
It takes one child lain hold her time for me
Easy-easy-easy-e
GO!
GO!
GO!
GO!
GO!
C'mon!
GO!
Here it comes
There's a mount'
And if you look around
You better shout
You guys are looking down
On the ground
When I ??
??
Down
Later
Later
Later
Later
I got the DC
And I love candy pumpkins
I know DC
And all the black shit buckets
And the capital
And the capital sucks
Like a capital should
Everyone and every tan
Don't mention brussels
Don't mention antwerp
Don't mention bruges
Don't mention black orange, black orange, etc.
Orange black, ornage black
Is the man
Are the men
Orange black
...","Brink Of The Clouds","http://lyrics.fandom.com/wiki/Pavement:Brink_Of_The_Clouds"
"Wowee Zowee (1995)","It's so funny
We went down to the store
We got the money
So we'll put you down
We got the money, we got the money, we got the money
We got the money, we got money, we got the money now
It's so funny, we went down to the store
We got the money so we'll put you down
It's so funny, we went down to the store
And I won't even let you home
We got the money, we got the money, we got the money
We got the money, we got money, we got the money","Brinx Job","http://lyrics.fandom.com/wiki/Pavement:Brinx_Job"
"Unknown","Pigs, they tend to wiggle when they walk
The infrastructure rots
And the owners hate the jocks
With their agents and their dates
If the signatures are checked
You'll just have to wait
And we're counting up the instants that we save
Tired nation so depraved
From the cheap seats see us
Wave to the camera
It took a giant ramrod
To raze the demon settlement
But high-ho Silver, ride
High-ho Silver, ride
Take another ride to see me home
Listen to me! I'm on the stereo, stereo
Oh my baby, baby, baby, baby, babe
Gave me malaria, hysteria
What about the voice of Geddy Lee
How did it get so high?
I wonder if he speaks like an ordinary guy?
(I know him and he does!)
And you're my fact-checkin' 'cause
(Aww)
Well focus on the quasar in the mist
The kaiser has a cyst
And I'm a blank want list
The qualms you have and if they stick
They will drown you in a crick
In the neck of a woods
That was populated by
Tired nation on the fly
Everybody knows advice
That was give out for free
Lots of details to discern
Lots of details
But high-ho Silver, ride
High-ho Silver, ride
Takes another ride to make me
Oh, get off the air
I'm on the stereo, stereo
Oh, my baby, baby, baby, baby, baby, babe
Gave me malaria, hysteria","Camera","http://lyrics.fandom.com/wiki/Pavement:Camera"
"Terror Twilight (1999)","Spiral: I want to say:
SM: It's my second hand wonder,
A thing that recovers the doubt
Spiral: Slim door,
Mark: Like a rainstorm, you've got to do
What you want and say it
SM: It's of my design assembled at the cut
Spiral: Slim door,
SM: It's all right to shake, to fight, to feel
Mark: You go down, down, down, down
Spiral: Slim door,
SM: It's all right to shake, to fight, to feel
Mark: You go down, down, down, down
SM: Harness your hopes to the folks
With the liquor with the ropes,
Red, red ropes, periscopes
They've got everything will ever need
Stored under the chair
Simmer, simmer, simmer down
Simmer, simmer, simmer down
Don't waste your precious breath
Explaining that you are worthwhile
Simmer, simmer, simmer down
Simmer, simmer, simmer down
Be patient and I'll let you see my
Carrot rope, feed my thrill,
I got beat by weather
Carrot rope, feed my thrill,
I got beat by weather
Carrot rope, feed my thrill,
It's time to get me off of the ground,
The wicket keeper is down
(The wicked keep us down?)
SM: Hey little boy, would you like to know
What's in my pocket or not
It's no ploy, it's no gimmick,
It's the chance of a lifetime to see
Something that's never seen by mere mortals
Mark: Except me
Spiral:And myself
SM: And sweet I, so what do you say?
Would you like to play 20 questions with me?
SM: A little, little Christian lie,
A little, little Christian lie
Debating if it's time
To drop the bomb on you, my dear
A little, little Christian lie,
A little, little Christian lie
Let's get down to brass tacks and start it
A carrot rope, feed my thrill,
I got beat by weather
A carrot rope, feed my thrill,
I got beat by weather
Carrot rope, feed my thrill
It's time to get me off of the grounds
The wicket keeper is down,
The wicked keeper is down
And he gets me off of the grounds
Spiral:Leg","Carrot Rope","http://lyrics.fandom.com/wiki/Pavement:Carrot_Rope"
"Shady Lane (1997)","Hey
You needed 'A' for effort
But I give you a 'Z' for delivery, my friend
You are too late and I need to escape
To my private apartment
And my gross, gross television set
It's new and it's current it's got
New and it's current is hot
Special special director's cut
Just for you, my friend my friend
Blasted concept and my cherry area
Is just a little scary to be around right now
So keep away, my friend
Whoa whoa whoa whoa whoa whoa whoa whoa whoa whoa whoa!
Watch that hand, my friend
You're in a sacred environment
You're in a sacred environment, ya know
I need to go, I need to go, I need to","Cherry Area","http://lyrics.fandom.com/wiki/Pavement:Cherry_Area"
"Slanted And Enchanted (1992)","I'm bogged, I'm bogged down
I am bogged down
I'm bogged down
I am, I am bogged down","Chesley's Little Wrists","http://lyrics.fandom.com/wiki/Pavement:Chesley%27s_Little_Wrists"
"Unknown","Met her
When I was a drum cadet
Sold her
The skins off my second set
Yes!
See myself come running back
See myself come running back
Running back, running back,
Running running running back
See myself come running back
See myself come running back
Running back, running back,
Running running running back
Asshole
Royal blue velvet rope
Castles
We never had any of those (?)
See myself come running back
See myself come running back
Running back, running back,
Running running running back
See myself come running back
See myself come running back
Running back, running back,
Running running running back
I was in a three piece band
But there were no strings
On the winds
And skins
Torn flags
We don't
Burned match
We light the burned match
We light the burned match
And stick a flag on it","Circa 1762","http://lyrics.fandom.com/wiki/Pavement:Circa_1762"
